ID,RecipeID,Weight,MaltGenericID,MaltID
429,136,0.5,64,81
430,136,0.19,57,301
431,137,3.7999999999999998,34,276
432,137,0.5,57,301
433,137,0.56000000000000005,29,71
434,137,0.19,68,72
435,137,0.13,3,161
436,138,3,34,276
437,138,0.13,40,65
438,138,0.19,29,71
439,138,0.88,19,69
440,143,1.75,34,276
441,143,0.44,40,65
442,143,0.5,68,72
443,143,0.56000000000000005,64,81
444,143,0.56000000000000005,35,0
445,143,0.13,15,174
446,143,0.25,4,75
447,143,5.9999999999999998E-2,63,358
448,149,3.6899999999999999,34,276
449,149,0.16,19,69
450,149,0.31,57,301
451,149,5.9999999999999998E-2,68,72
452,155,2.3799999999999999,34,276
453,155,0.44,64,81
454,155,0.44,60,82
455,155,0.19,57,301
456,155,0.44,35,0
457,155,0.19,4,75
458,159,2.1299999999999999,34,276
459,159,2.5,64,81
460,159,0.13,67,285
461,162,5.0599999999999996,34,276
462,162,0.25,19,69
463,162,5.9999999999999998E-2,68,72
464,163,3.6299999999999999,34,276
465,163,0.25,19,69
466,163,0.13,68,72
467,165,3,34,276
468,165,2,64,81
469,165,8.0000000000000002E-2,68,72
470,168,2.3999999999999999,34,276
471,168,0.82999999999999996,19,69
472,168,0.63,25,165
473,168,0.41999999999999998,40,65
474,168,0.52000000000000002,29,71
475,168,0.20999999999999999,68,72
476,168,21,57,301
477,169,4.3799999999999999,34,276
478,170,3.3799999999999999,34,276
479,170,0.5,19,69
480,170,0.19,29,71
481,174,2.5,34,276
482,174,0.63,35,0
483,174,0.38,59,264
484,174,0.38,53,266
485,174,0.38,13,174
486,174,0.63,64,81
487,186,5,34,276
488,186,1.25,64,81
489,186,0.63,57,301
490,186,0.63,3,161
491,189,4.3799999999999999,34,276
492,199,5.4000000000000004,34,276
493,199,0.13,40,65
494,199,5.0000000000000003E-2,4,75
495,202,1.6899999999999999,52,64
496,202,0.38,64,81
497,202,0.13,35,0
498,206,4,34,276
499,206,0.75,35,0
500,206,0.38,8,76
501,206,0.25,29,71
502,206,0.5,40,65
503,206,5.9999999999999998E-2,13,176
504,210,3.1299999999999999,44,152
505,210,0.25,19,69
506,210,0.17999999999999999,29,71
507,210,0.25,13,176
508,213,5,47,60
509,213,0.63,72,302
510,213,0.63,35,0
511,215,4.0999999999999996,47,60
512,217,2.2999999999999998,44,152
513,217,1.3,38,57
514,217,0.5,19,69
515,221,1.6000000000000001,44,152
516,221,1.6000000000000001,64,81
517,228,2.2999999999999998,44,152
518,228,1.3,38,57
519,228,0.5,19,69
520,232,2.2999999999999998,44,152
521,232,1.3,38,57
522,232,0.5,19,69
523,239,4,38,57
524,239,0.34999999999999998,68,72
525,241,3,38,57
526,241,0.25,57,301
527,241,0.25,35,0
528,247,2.7999999999999998,34,276
529,247,0.5,57,301
530,247,0.14999999999999999,73,287
531,249,3,44,152
532,249,0.20000000000000001,19,69
533,254,5.1600000000000001,52,64
534,254,1.72,44,152
536,176,4.5,34,276
537,176,0.5,57,301
538,176,4.0000000000000001E-2,10,179
539,176,0.10000000000000001,21,169
540,176,0.25,8,76
541,176,0.13,19,69
542,176,7.0000000000000007E-2,29,71
543,176,0.11,40,65
544,175,5,34,276
545,175,0.63,57,301
546,175,0.25,19,69
547,177,3.6899999999999999,34,276
548,177,0.5,19,69
549,178,6.3899999999999997,34,276
550,179,6.3899999999999997,34,276
551,180,6.3899999999999997,34,276
552,181,5.8799999999999999,34,276
553,182,5.5,44,152
554,182,1,37,58
555,183,4.3799999999999999,34,276
556,183,0.63,19,69
557,184,4.3799999999999999,34,276
558,184,0.16,29,71
559,184,0.16,68,72
560,184,1.25,40,65
561,184,0.63,57,301
562,185,5,34,276
563,185,0.63,59,264
564,185,0.31,53,266
565,185,0.31,68,72
566,187,6.8799999999999999,34,276
567,187,1.8799999999999999,3,161
568,187,1.25,64,81
569,187,0.25,57,301
570,187,5.0000000000000003E-2,59,264
571,188,3.75,34,276
572,188,0.63,64,81
573,188,1.25,57,301
574,188,0.63,3,161
575,188,0.63,68,72
576,188,0.63,59,264
577,188,0.63,40,65
578,190,6.3499999999999996,44,152
579,190,0.77000000000000002,40,65
580,190,0.95999999999999996,19,69
581,190,0.28999999999999998,59,264
582,190,0.38,13,176
583,190,0.19,15,174
584,191,7.5,44,152
585,191,0.5,64,81
586,191,0.75,35,0
587,191,0.75,68,172
588,191,0.5,13,176
589,191,0.5,15,174
590,191,0.75,57,301
591,191,0.75,8,76
592,192,6.8799999999999999,44,152
593,192,0.5,64,81
594,192,1,35,0
595,192,0.5,68,172
596,192,0.75,13,176
597,192,1,26,78
598,193,14.5,34,176
599,194,4.25,34,276
600,194,0.63,25,165
601,195,4.25,34,276
602,195,0.63,25,165
603,196,5.25,34,276
604,196,1.8799999999999999,64,81
605,196,0.13,68,72
606,198,3.8799999999999999,34,276
607,198,0.63,40,65
608,198,0.13,68,72
609,198,0.38,4,75
610,200,5.6299999999999999,34,276
611,201,2.5,34,276
612,201,1.25,64,81
613,201,0.63,57,301
614,203,3.1299999999999999,52,64
615,203,0.25,64,81
616,203,0.25,40,65
617,204,3.75,34,176
618,204,0.41999999999999998,64,81
619,205,3.25,52,64
620,205,0.38,72,302
621,207,5,44,152
622,207,0.38,29,71
623,207,0.13,68,72
624,207,5.9999999999999998E-2,13,176
625,207,0.5,57,301
626,208,1.6299999999999999,47,60
627,208,1.6299999999999999,64,81
628,208,2.9999999999999999E-2,47,60
629,208,2.9999999999999999E-2,3,161
630,211,4.5,34,276
631,211,0.88,19,69
632,212,1.6299999999999999,47,60
633,212,1.6299999999999999,64,81
634,212,2.9999999999999999E-2,47,60
635,212,2.9999999999999999E-2,3,161
636,220,1.3,52,64
637,220,0.12,19,69
638,220,0.5,40,65
639,216,2.75,44,152
640,216,0.25,64,81
641,216,0.19,68,72
642,216,0.38,8,76
643,216,0.19,5,79
644,216,0.19,13,176
645,216,0.38,35,0
646,216,0.25,29,71
647,216,0.38,74,0
648,218,7.2999999999999998,34,276
649,218,0.35999999999999999,64,81
650,218,0.53000000000000003,58,0
651,219,5.7999999999999998,34,276
652,220,1.2,44,152
653,222,7.5,44,152
654,222,0.5,64,81
655,222,0.75,35,0
656,222,0.75,68,72
657,222,0.5,13,176
658,222,0.5,15,174
659,222,0.75,57,301
660,222,0.75,8,76
