"ID","YeastID","YeastSubID","IsWetDry","IsManuSub","IsSameManu"
"216","24","77","Y","N","N"
"217","24","93","Y","N","N"
"218","24","97","Y","N","N"
"219","4","64","Y","N","N"
"220","13","64","Y","N","N"
"221","18","64","Y","N","N"
"222","24","18","N","N","Y"
"223","24","100","Y","N","N"
"224","54","4","Y","N","N"
"225","54","13","Y","N","N"
"226","54","64","N","N","Y"
"227","54","24","Y","N","N"
"228","60","4","Y","N","N"
"229","60","13","Y","N","N"
"230","60","24","Y","N","N"
"231","60","99","N","Y","N"
"232","64","4","Y","N","N"
"233","64","13","Y","N","N"
"234","64","18","Y","N","N"
"235","64","24","Y","N","N"
"236","64","54","N","N","Y"
"237","64","74","N","N","Y"
"238","64","77","N","Y","N"
"239","64","93","N","Y","N"
"240","64","97","N","Y","N"
"241","64","99","N","Y","N"
"242","64","100","N","Y","N"
"243","64","60","N","N","Y"
"244","74","24","Y","N","N"
"245","74","99","N","Y","N"
"246","77","4","Y","N","N"
"247","77","13","Y","N","N"
"248","77","64","N","Y","N"
"249","77","99","N","N","Y"
"250","77","24","Y","N","N"
"251","93","64","N","Y","N"
"252","97","4","Y","N","N"
"253","97","13","Y","N","N"
"254","97","64","N","Y","N"
"255","97","99","N","N","Y"
"256","97","24","Y","N","N"
"257","99","4","Y","N","N"
"258","99","13","Y","N","N"
"259","99","18","Y","N","N"
"260","99","24","Y","N","N"
"261","99","54","N","Y","N"
"262","99","60","N","Y","N"
"263","99","64","N","Y","N"
"264","99","74","N","Y","N"
"265","99","77","N","N","Y"
"266","99","93","N","N","Y"
"267","99","100","N","N","Y"
"268","99","97","N","N","Y"
"269","100","4","Y","N","N"
"270","100","13","Y","N","N"
"271","100","24","Y","N","N"
"272","100","64","N","Y","N"
"273","100","99","N","N","Y"
"274","35","23","N","Y","N"
"275","23","5","N","Y","N"
"276","75","14","Y","N","N"
"278","63","14","Y","N","N"
"279","55","65","N","N","Y"
"280","35","65","Y","N","N"
"281","80","23","Y","N","N"
"282","80","65","N","Y","N"
"283","65","5","Y","N","N"
"284","65","35","Y","N","N"
"285","65","55","N","N","Y"
"286","102","14","Y","N","N"
"287","65","80","N","Y","N"
"288","25","103","Y","N","N"
"289","25","67","Y","N","N"
"290","67","25","Y","N","N"
"291","67","103","N","Y","N"
"292","103","25","Y","N","N"
"293","103","67","N","Y","N"
"294","26","70","Y","N","N"
"295","26","107","Y","N","N"
"296","26","43","N","Y","N"
"297","26","69","Y","N","N"
"298","110","79","N","Y","N"
"299","26","79","Y","N","N"
"300","43","26","N","Y","N"
"301","43","69","Y","N","N"
"302","43","70","Y","N","N"
"303","88","79","N","N","Y"
"304","43","79","Y","N","N"
"305","43","107","Y","N","N"
"306","69","26","Y","N","N"
"307","69","43","Y","N","N"
"308","69","70","N","N","Y"
"309","88","71","N","Y","N"
"310","69","79","N","Y","N"
"311","69","107","N","Y","N"
"312","70","26","Y","N","N"
"313","70","43","Y","N","N"
"314","70","69","N","N","Y"
"315","89","71","N","Y","N"
"316","70","79","N","Y","N"
"317","70","107","N","Y","N"
"318","71","33","Y","N","N"
"319","71","110","N","N","Y"
"320","71","89","N","Y","N"
"321","33","79","Y","N","N"
"322","79","33","Y","N","N"
"323","79","88","N","N","Y"
"324","79","26","Y","N","N"
"325","79","43","Y","N","N"
"326","79","60","N","Y","N"
"327","79","70","N","Y","N"
"328","79","71","N","Y","N"
"329","79","107","N","N","Y"
"330","107","26","Y","N","N"
"331","107","43","Y","N","N"
"332","107","69","N","Y","N"
"333","107","70","N","Y","N"
"334","79","89","N","N","Y"
"335","107","79","N","N","Y"
"336","26","104","Y","N","N"
"337","43","104","Y","N","N"
"338","69","104","N","Y","N"
"339","70","104","N","Y","N"
"340","71","88","N","Y","N"
"341","79","104","N","N","Y"
"342","107","104","N","N","Y"
"343","104","26","Y","N","N"
"344","104","43","Y","N","N"
"345","104","69","N","Y","N"
"346","104","70","N","Y","N"
"347","79","110","N","Y","N"
"348","104","79","N","N","Y"
"349","104","104","N","N","Y"
"350","2","26","N","Y","N"
"351","2","43","N","Y","N"
"352","2","69","Y","N","N"
"353","2","70","Y","N","N"
"354","89","79","N","N","Y"
"355","2","79","Y","N","N"
"356","2","104","Y","N","N"
"357","2","107","Y","N","N"
"358","28","105","Y","N","N"
"359","28","68","Y","N","N"
"360","28","44","N","Y","N"
"361","44","28","N","Y","N"
"362","11","6","N","Y","N"
"363","56","11","Y","N","N"
"364","76","11","Y","N","N"
"365","44","68","Y","N","N"
"366","44","105","Y","N","N"
"367","68","28","Y","N","N"
"368","68","44","Y","N","N"
"369","68","105","N","Y","N"
"370","105","28","Y","N","N"
"371","105","44","Y","N","N"
"372","105","68","N","Y","N"
"373","29","81","Y","N","N"
"374","29","66","Y","N","N"
"375","66","29","Y","N","N"
"376","66","81","N","Y","N"
"377","81","29","Y","N","N"
"378","10","29","N","Y","N"
"379","10","46","N","Y","N"
"380","29","10","N","Y","N"
