"ID","Hops","AA","Area","Type"
"126","*Cold Infused Coffee","0","",""
"127","*Columbus Extract","0","",""
"128","*Coriander","0","",""
"129","*Coriander Seeds","0","",""
"130","*Cranberry","0","",""
"131","*Cranberry juice","0","",""
"132","*Crushed Coridaner Seeds","0","",""
"133","*Cucumber","0","",""
"134","*Cumin","0","",""
"135","*Dark Musvado Sugar","0","",""
"136","*Elderflower","0","",""
"137","*Fresh Limes","0","",""
"138","*Ginger","0","",""
"139","*Ginger Powder","0","",""
"140","*Grains of Paradise","0","",""
"141","*Grapefruit Peel","0","",""
"142","*Ground coffee","0","",""
"143","*Habanero","0","",""
"144","*Habanero Powder","0","",""
"145","*Hibiscus","0","",""
"146","*Honey","0","",""
"147","*Indian Coriander","0","",""
"148","*Jasmine","0","",""
"149","Jester","8.39","UK","Aroma"
"150","*Juniper Berries","0","",""
"151","*Lactose","0","",""
"152","*Lemon","0","",""
"153","*Lemon Drop Chili","0","",""
"154","*Lemon Peel","0","",""
"155","*Limonnik berries","0","",""
"156","*Lingonberries","0","",""
"157","*Liquorice","0","",""
"158","*Mango","0","",""
"159","*Mango Puree","0","",""
"160","*Mangoes (5 Pureed)","0","",""
"161","*Maple Syrup","0","",""
"162","*Melon","0","",""
"163","*Mint","0","",""
"164","*Nutmeg","0","",""
"165","*Oak Chips","0","",""
"166","*Oak Chips soaked in Mezcal","0","",""
"167","*Oat Husks","0","",""
"168","*Orange","0","",""
"169","*Orange blossom honey","0","",""
"170","*Orange Peel","0","",""
"171","*Peppercorns","0","",""
"172","*Peppercorns (Pink)","0","",""
"173","*Perigold Truffle","0","",""
"174","*Pineapple","0","",""
"175","*Pumkin puree","0","",""
"176","*Raisins","0","",""
"177","*Raspberries","0","",""
"178","*Rhubarb","0","",""
"179","*Roasted Hazelnuts","0","",""
"180","*Rosemary","0","",""
"181","*Sea Buckthorn","0","",""
"182","*Sea Buckthorn Puree","0","",""
"183","*Sour Cherry","0","",""
"184","*Sour Cherry Puree","0","",""
"185","*Star Anise","0","",""
"186","*Sweet Cherry","0","",""
"187","*Sweet Orange Peel","0","",""
"188","*Toasted Coconut Chips","0","",""
"189","*Vanilla","0","",""
"190","*Vanilla Extract","0","",""
"191","*Vanilla Pods","0","",""
"192","*Whole Chilli","0","",""
"193","*Yuzu Juice","0","",""
"194","*Yuzu juice (ml)","0","",""
"195","*Oak Chips soaked in Islay","0","",""
"196","*Oak Chips soaked in Jura","0","",""
"197","*Guarana Powder","0","",""
"198","*Kola Nut Powder","0","",""
"199","*Poppy Seed","0","",""
"200","*Heather Honey","0","",""
"201","*Strawberries","0","",""
"202","*Oak Chips soaked in Highland","0","",""
"203","*Oak Chips soaked in Lowland","0","",""
"204","*Naga Chilli","0","",""
"205","*White Cane Sugar","0","",""
"206","*Wasabi Powder","0","",""
"207","*Wasabi Paste","0","",""
"208","*Sea Salt","0","",""
"209","*Rum (ml)","0","",""
"210","*Tayberries","0","",""
"211","*Purple Raspberries","0","",""
"212","*Toasted Oak Chips","0","",""
"213","*Highland Toffee (bars)","0","",""
"214","*Lycil Berries","0","",""
"215","*Ginseng","0","",""
"216","*Kolabu","0","",""
"217","*Gingko","0","",""
"218","*Matcha Tea","0","",""
"219","*Maca Powder","0","",""
"220","*Rum soaked raisins","0","",""
"221","*Oak Chips soaked in Rum","0","",""
"222","*Coriander Powder","0","",""
"223","*Chipotle Peppers","0","",""
"224","*Bramble","0","",""
"225","*Popcorn","0","",""
"226","*Passionfruit","0","",""
"227","*Raspberry Puree","0","",""
"228","*Cherry Concentrate","0","",""
"229","*Bitter Almond Extract","0","",""
"230","*Tahitian Vanilla Beans","0","",""
"231","*Peach","0","",""
"232","*Apricot","0","",""
