ID,Name,BeerStylesID,Number,Source2,YeastID,ABV,IBU,OG,FG,EBC,HasAdjucts,MashTemp,MashTime,Fermentation,Description,Tips
1,Punk IPA 2007,68,1,DiyDog,55,6,60,1056,1010,17,N,65,75,19,"Our flagship beer that kick started
the craft beer revolution. This is
James and Martin's original take on
an American IPA, subverted with
punchy New Zealand hops.
Layered with new world hops to
create an all-out riot of grapefruit,
pineapple and lychee before a spiky,
mouth-puckering bitter finish.","While it may surprise you, this version of
Punk IPA isn't dry hopped but still packs
a punch! To make the best of the aroma
hops make sure they are fully submerged
and add them just before knock out for an
intense hop hit."
2,Punk IPA 2010,68,2,DiyDog,55,5.6,40,1053,1011,15,N,66,75,19,"Punk IPA. Amplified. In 2010
we finally got our paws on the
equipment we needed to dry hop
our beers. We focused all our energy
on dry hopping, amping up the
aroma and flavour of our flagship
beer to create a relentless explosion
of tropical fruits, and adding a hint
of Caramalt to balance out the
insane amount of hops.","To get the best possible profile from the
dry hops we recommend dry hopping post
fermentation for 5 days. Dry hops should
be added at cellar temperature. We find
55,Citra,68,55,DiyDog,55,7.5,70,1068,1013,30,N,65,75,19,NULL,NULL
56,Nelson Sauvin,68,56,DiyDog,55,7.5,75,1068,1013,30,N,65,75,19,NULL,NULL
57,Sorachi Ace,68,57,DiyDog,55,7.5,75,1068,1013,30,N,65,75,19,NULL,NULL
58,Avery Brown Dredge,18,58,DiyDog,49,7.2,59,1069,1027,10,N,66,70,10,NULL,NULL
59,Growler,18,59,DiyDog,49,4.5,38,1042,1008,18,N,65,75,10,NULL,NULL
60,Rabiator,31,60,DiyDog,73,10.27,26,1092,1014,24,N,64,60,21,NULL,NULL
61,AB:06,70,61,DiyDog,61,11.2,150,1098,1013,70,Y,65,90,17,NULL,NULL
62,Juniper Wheat Beer,4,62,DiyDog,51,5,40,1047,1008,15,Y,64,75,17,NULL,NULL
63,Hops Kill Nazis,76,64,DiyDog,61,7.6,70,1073,1015,59,N,68,75,20,NULL,NULL
64,Mr Myagi's Wasabi Stout,66,65,DiyDog,61,7.5,90,1072,1015,200,Y,65,75,21,NULL,NULL
65,Sunk Punk,2,66,DiyDog,49,7.1,68,1056,1010,14,Y,65,75,10,NULL,NULL
66,AB:10 (Aged),64,67,DiyDog,61,11.5,80,1096,1020,115,N,69,45,20,NULL,NULL
67,AB:18 (Aged),64,68,DiyDog,61,11.8,80,1096,1020,115,Y,69,45,20,NULL,NULL
68,Old World India Pale Ale,39,69,DiyDog,61,7.5,80,1069,1012,50,N,65,75,22,NULL,NULL
69,Old World Russian Imperial Stout,67,70,DiyDog,61,9.5,80,1075,1014,195,N,64,90,19,NULL,NULL
70,Lost Dog,42,71,DiyDog,61,10,35,1080,1012,80,N,65,75,19,NULL,NULL
71,AB:08,67,72,DiyDog,61,10.43,65,1095,1016,23,Y,65,75,21,NULL,NULL
72,Sunmaid Stout (Aged),67,73,DiyDog,61,10.2,50,1102,1026,197,N,65,55,21,NULL,NULL
73,Shareholder Black IPA,70,74,DiyDog,55,7.1,80,1067,1014,71,Y,66,90,19,NULL,NULL
74,AB:13,67,75,DiyDog,61,11.3,50,1098,1020,164,Y,65,75,20,NULL,NULL
75,Simcoe,68,76,DiyDog,55,6.7,70,1063,1012,30,N,65,75,19,NULL,NULL
76,Libertine Porter,65,77,DiyDog,55,6.1,45,1067,1020,219,N,68,35,18,NULL,NULL
77,Mixtape 8 (Mulitple Beers Mixed),93,78,DiyDog,54,14.5,50,1093,1014,40,N,65,40,21,NULL,NULL
78,Bitch Please,77,79,DiyDog,61,11.5,50,1104,1016,38,Y,65,75,21,NULL,NULL
79,Challenger,68,80,DiyDog,55,6.7,67,1064,1013,19,N,68,75,19,NULL,NULL
80,Galaxy,68,81,DiyDog,55,6.7,67,1064,1013,19,N,65,75,19,NULL,NULL
81,HBC 369,68,82,DiyDog,55,6.7,67,1064,1013,19,N,65,75,19,NULL,NULL
82,Motueka,68,83,DiyDog,55,6.7,67,1064,1013,19,N,65,75,19,NULL,NULL
83,Dead Pony Club,68,84,DiyDog,55,3.8,35,1040,1012,25,N,62,75,19,NULL,NULL
84,Libertine Black Ace,70,85,DiyDog,61,7.2,50,1068,1013,76,N,65,75,19,NULL,NULL
85,Anarchist Alchemist,75,86,DiyDog,61,16.5,20,1112,1000,20,N,65,75,20,NULL,NULL
86,Dog A,66,87,DiyDog,61,15,90,1120,1003,100,Y,65,90,19,NULL,NULL
87,Hunter Foundation Pale Ale,61,88,DiyDog,55,5.4,35,1050,1008,12,N,63,75,19,NULL,NULL
88,Jackhammer,39,90,DiyDog,61,7.2,250,1065,1010,15,N,65,75,21,NULL,NULL
89,Never Mind The Anabolics,39,91,DiyDog,55,6.5,35,1050,1012,23,Y,68,30,18,NULL,NULL
90,San Diego Scotch Ale,44,92,DiyDog,61,9,70,1090,1018,190,Y,65,50,21,NULL,NULL
91,AB:12,69,93,DiyDog,54,11.2,35,1108,1017,80,Y,69,105,21,NULL,NULL
92,White Noise,74,94,DiyDog,57,6.8,50,1060,1012,30,Y,67,30,18,NULL,NULL
93,International Arms Race,106,95,DiyDog,55,7.5,0,1069,1013,50,Y,69,75,19,NULL,NULL
94,AB:11,77,96,DiyDog,61,12.8,70,1108,1020,79,Y,68,40,18,NULL,NULL
95,Hello My Name Is Beastie,75,97,DiyDog,61,8.2,42,1078,1013,90,Y,64,90,21,NULL,NULL
96,Dog Fight,73,98,DiyDog,61,8.5,65,1078,1012,31,N,65,50,18,NULL,NULL
97,Hoppy Christmas,68,99,DiyDog,55,7.2,70,1067,1012,30,N,65,75,19,NULL,NULL
98,Black Eyed King Imp,67,100,DiyDog,61,9.5,85,1095,1022,250,Y,65,50,18,NULL,NULL
99,Cocoa Pyshco,67,101,DiyDog,61,10,85,1098,1012,296,Y,65,75,21,NULL,NULL
100,Nuns with Guns,5,102,DiyDog,49,4.2,25,1044,1012,19,N,70,75,16,NULL,NULL
101,Catherine's Pony,30,103,DiyDog,61,8.8,40,1084,1017,190,Y,67,75,21,NULL,NULL
102,Amarillo,68,104,DiyDog,55,7.2,70,1067,1012,39,N,65,75,19,NULL,NULL
103,Lichtenstein Pale Ale,73,105,DiyDog,55,5.2,50,1050,1010,17,N,65,75,19,NULL,NULL
